类别：所有类别

周,咳嗽: (澳门)
2020-12-27,76
2021-01-03,77
2021-01-10,57
2021-01-17,60
2021-01-24,75
2021-01-31,80
2021-02-07,60
2021-02-14,62
2021-02-21,62
2021-02-28,66
2021-03-07,49
2021-03-14,35
2021-03-21,43
2021-03-28,38
2021-04-04,40
2021-04-11,50
2021-04-18,37
2021-04-25,38
2021-05-02,39
2021-05-09,40
2021-05-16,58
2021-05-23,34
2021-05-30,32
2021-06-06,48
2021-06-13,41
2021-06-20,66
2021-06-27,28
2021-07-04,30
2021-07-11,40
2021-07-18,47
2021-07-25,39
2021-08-01,61
2021-08-08,46
2021-08-15,38
2021-08-22,35
2021-08-29,64
2021-09-05,48
2021-09-12,43
2021-09-19,62
2021-09-26,64
2021-10-03,62
2021-10-10,34
2021-10-17,35
2021-10-24,0
2021-10-31,32
2021-11-07,0
2021-11-14,68
2021-11-21,62
2021-11-28,92
2021-12-05,100
2021-12-12,41
2021-12-19,84
2021-12-26,58
