类别：所有类别

周,咳嗽: (澳门)
2023-01-01,100
2023-01-08,56
2023-01-15,47
2023-01-22,18
2023-01-29,25
2023-02-05,20
2023-02-12,22
2023-02-19,28
2023-02-26,20
2023-03-05,20
2023-03-12,33
2023-03-19,23
2023-03-26,35
2023-04-02,36
2023-04-09,27
2023-04-16,34
2023-04-23,32
2023-04-30,37
2023-05-07,36
2023-05-14,44
2023-05-21,44
2023-05-28,48
2023-06-04,39
2023-06-11,32
2023-06-18,35
2023-06-25,35
2023-07-02,36
2023-07-09,37
2023-07-16,23
2023-07-23,42
2023-07-30,18
2023-08-06,40
2023-08-13,39
2023-08-20,33
2023-08-27,32
2023-09-03,29
2023-09-10,31
2023-09-17,41
2023-09-24,50
2023-10-01,44
2023-10-08,40
2023-10-15,46
2023-10-22,47
2023-10-29,54
2023-11-05,66
2023-11-12,47
2023-11-19,47
2023-11-26,44
2023-12-03,60
2023-12-10,52
2023-12-17,66
2023-12-24,55
2023-12-31,74
