类别：所有类别

周,咳嗽: (澳门)
2019-12-29,67
2020-01-05,66
2020-01-12,72
2020-01-19,84
2020-01-26,100
2020-02-02,78
2020-02-09,70
2020-02-16,61
2020-02-23,50
2020-03-01,31
2020-03-08,33
2020-03-15,42
2020-03-22,38
2020-03-29,46
2020-04-05,29
2020-04-12,24
2020-04-19,18
2020-04-26,20
2020-05-03,23
2020-05-10,0
2020-05-17,23
2020-05-24,19
2020-05-31,0
2020-06-07,0
2020-06-14,0
2020-06-21,19
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,39
2020-08-02,21
2020-08-09,51
2020-08-16,21
2020-08-23,0
2020-08-30,18
2020-09-06,20
2020-09-13,17
2020-09-20,0
2020-09-27,49
2020-10-04,35
2020-10-11,21
2020-10-18,34
2020-10-25,28
2020-11-01,33
2020-11-08,23
2020-11-15,26
2020-11-22,61
2020-11-29,36
2020-12-06,42
2020-12-13,39
2020-12-20,45
2020-12-27,51
