类别：所有类别

周,咳嗽: (香港)
2023-01-01,99
2023-01-08,75
2023-01-15,53
2023-01-22,50
2023-01-29,46
2023-02-05,41
2023-02-12,41
2023-02-19,40
2023-02-26,39
2023-03-05,42
2023-03-12,58
2023-03-19,55
2023-03-26,63
2023-04-02,69
2023-04-09,72
2023-04-16,70
2023-04-23,77
2023-04-30,85
2023-05-07,88
2023-05-14,84
2023-05-21,84
2023-05-28,74
2023-06-04,72
2023-06-11,63
2023-06-18,64
2023-06-25,65
2023-07-02,58
2023-07-09,56
2023-07-16,61
2023-07-23,54
2023-07-30,57
2023-08-06,56
2023-08-13,54
2023-08-20,55
2023-08-27,54
2023-09-03,55
2023-09-10,60
2023-09-17,69
2023-09-24,70
2023-10-01,72
2023-10-08,68
2023-10-15,67
2023-10-22,64
2023-10-29,61
2023-11-05,67
2023-11-12,65
2023-11-19,72
2023-11-26,72
2023-12-03,79
2023-12-10,71
2023-12-17,69
2023-12-24,96
2023-12-31,100
