类别：所有类别

周,咳嗽: (香港)
2018-12-30,98
2019-01-06,97
2019-01-13,100
2019-01-20,88
2019-01-27,86
2019-02-03,88
2019-02-10,86
2019-02-17,85
2019-02-24,77
2019-03-03,77
2019-03-10,83
2019-03-17,83
2019-03-24,86
2019-03-31,86
2019-04-07,76
2019-04-14,77
2019-04-21,77
2019-04-28,71
2019-05-05,71
2019-05-12,65
2019-05-19,69
2019-05-26,67
2019-06-02,65
2019-06-09,58
2019-06-16,59
2019-06-23,65
2019-06-30,61
2019-07-07,60
2019-07-14,56
2019-07-21,53
2019-07-28,53
2019-08-04,51
2019-08-11,45
2019-08-18,42
2019-08-25,41
2019-09-01,42
2019-09-08,52
2019-09-15,56
2019-09-22,64
2019-09-29,57
2019-10-06,58
2019-10-13,57
2019-10-20,61
2019-10-27,69
2019-11-03,68
2019-11-10,62
2019-11-17,65
2019-11-24,60
2019-12-01,71
2019-12-08,75
2019-12-15,84
2019-12-22,79
2019-12-29,99
