类别：所有类别

周,咳嗽: (香港)
2020-12-27,57
2021-01-03,47
2021-01-10,46
2021-01-17,41
2021-01-24,46
2021-01-31,45
2021-02-07,40
2021-02-14,40
2021-02-21,47
2021-02-28,47
2021-03-07,48
2021-03-14,41
2021-03-21,48
2021-03-28,43
2021-04-04,53
2021-04-11,44
2021-04-18,50
2021-04-25,47
2021-05-02,51
2021-05-09,57
2021-05-16,49
2021-05-23,43
2021-05-30,42
2021-06-06,43
2021-06-13,47
2021-06-20,45
2021-06-27,44
2021-07-04,49
2021-07-11,44
2021-07-18,51
2021-07-25,41
2021-08-01,45
2021-08-08,45
2021-08-15,51
2021-08-22,52
2021-08-29,49
2021-09-05,51
2021-09-12,56
2021-09-19,68
2021-09-26,64
2021-10-03,69
2021-10-10,76
2021-10-17,68
2021-10-24,75
2021-10-31,84
2021-11-07,94
2021-11-14,100
2021-11-21,98
2021-11-28,98
2021-12-05,87
2021-12-12,98
2021-12-19,87
2021-12-26,77
