类别：所有类别

周,糖尿病: (澳门)
2018-12-30,56
2019-01-06,57
2019-01-13,68
2019-01-20,77
2019-01-27,57
2019-02-03,0
2019-02-10,75
2019-02-17,74
2019-02-24,67
2019-03-03,0
2019-03-10,78
2019-03-17,100
2019-03-24,64
2019-03-31,0
2019-04-07,72
2019-04-14,48
2019-04-21,55
2019-04-28,61
2019-05-05,49
2019-05-12,73
2019-05-19,48
2019-05-26,52
2019-06-02,36
2019-06-09,76
2019-06-16,97
2019-06-23,0
2019-06-30,43
2019-07-07,60
2019-07-14,55
2019-07-21,46
2019-07-28,54
2019-08-04,61
2019-08-11,80
2019-08-18,54
2019-08-25,48
2019-09-01,52
2019-09-08,40
2019-09-15,55
2019-09-22,57
2019-09-29,62
2019-10-06,67
2019-10-13,96
2019-10-20,64
2019-10-27,94
2019-11-03,69
2019-11-10,50
2019-11-17,0
2019-11-24,46
2019-12-01,62
2019-12-08,0
2019-12-15,55
2019-12-22,50
2019-12-29,66
