类别：所有类别

周,糖尿病: (澳门)
2019-12-29,56
2020-01-05,68
2020-01-12,55
2020-01-19,61
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,51
2020-02-23,55
2020-03-01,73
2020-03-08,63
2020-03-15,55
2020-03-22,79
2020-03-29,29
2020-04-05,61
2020-04-12,0
2020-04-19,59
2020-04-26,51
2020-05-03,77
2020-05-10,75
2020-05-17,61
2020-05-24,100
2020-05-31,56
2020-06-07,57
2020-06-14,58
2020-06-21,80
2020-06-28,60
2020-07-05,45
2020-07-12,61
2020-07-19,66
2020-07-26,86
2020-08-02,43
2020-08-09,44
2020-08-16,61
2020-08-23,55
2020-08-30,52
2020-09-06,54
2020-09-13,64
2020-09-20,49
2020-09-27,63
2020-10-04,56
2020-10-11,36
2020-10-18,52
2020-10-25,47
2020-11-01,32
2020-11-08,92
2020-11-15,62
2020-11-22,33
2020-11-29,71
2020-12-06,61
2020-12-13,37
2020-12-20,61
2020-12-27,35
